,video,vid_number,second,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203
0,NAH,mov,0,593.57117,606.31067,625.10803,642.5524,664.26776,697.7331,736.0264,789.8402,862.76855,932.66705,982.03046,1015.1041,1039.0653,1049.4587,1056.5392,1062.8226,1063.0797,639.1243,664.83093,698.1019,730.2175,759.8712,884.9996,913.0728,944.60284,979.2996,1008.82965,831.05865,835.8577,840.00964,843.2732,804.9672,822.1889,844.7638,866.3883,882.1915,687.9677,707.0961,736.4627,764.58044,740.9545,710.779,892.08356,917.91003,947.7267,969.9777,948.64435,918.15546,763.9305,795.0115,830.3233,848.94684,866.5671,902.7375,931.23145,901.61194,876.936,851.1855,825.2262,798.72687,771.8529,825.52704,849.7217,873.50525,925.54895,871.2871,848.2233,824.89764,176.87135,240.79378,298.75174,350.00168,405.9113,453.90436,487.76556,512.88513,524.01904,498.97675,465.24774,425.49313,372.3127,313.2008,259.6601,200.51668,135.65237,134.69063,113.94326,107.53515,108.78235,114.33496,102.86241,90.84702,83.521835,83.80083,101.39891,186.56721,233.4322,275.8845,309.21393,331.8024,334.7855,336.8785,330.68372,324.51822,184.07463,172.75307,171.41975,183.10582,193.7071,195.38086,171.88835,154.95479,151.14847,159.88097,174.16814,177.76581,395.56482,387.95767,376.70566,378.50607,374.02405,378.48032,380.69797,398.55246,411.5327,415.9919,416.04584,407.50507,393.19687,395.1762,393.54242,391.6261,379.91843,385.61923,388.89288,389.63657,16.241446,10.3244915,2.596051,2.1955824,20.050127,63.966774,123.83755,181.52194,204.24947,181.1465,123.36965,63.82294,20.040283,2.5420558,1.8428881,9.12501,15.618776,230.87564,270.6604,296.86725,311.819,317.01852,316.21222,311.12335,296.07016,269.83383,230.29051,309.7095,331.3565,353.27286,352.26465,280.3488,292.23477,297.02997,291.98642,280.0213,244.48047,272.95114,273.2367,262.4765,268.0471,261.09158,260.96225,271.611,269.95984,243.64719,260.24036,267.0475,233.34082,270.8151,291.46893,292.72433,291.29022,270.598,233.80293,266.46353,280.1916,283.35263,280.36865,266.50848,236.76828,272.75385,278.31876,272.69003,236.34663,280.50986,283.65735,280.40445
1,NAH,mov,1,597.6486,610.7392,629.7831,647.53687,669.5842,703.23694,741.8143,796.315,869.7309,939.91595,989.7773,1022.86505,1046.6323,1056.9534,1064.0055,1070.1619,1070.3324,643.40106,669.29114,702.7772,735.1212,765.0115,891.1197,919.31287,950.9976,985.9383,1015.75055,837.10114,842.096,846.3763,849.76117,811.1041,828.513,851.2184,872.97076,888.8846,692.65924,711.9056,741.46423,769.8363,746.0712,715.65405,898.4806,924.4526,954.4222,976.9374,955.50433,924.7907,769.5023,800.99725,836.7498,855.54504,873.2963,909.8704,938.5764,908.6591,883.7597,857.7755,831.57214,804.7232,777.4286,831.83417,856.31067,880.34576,932.8646,878.04114,854.7404,831.1371,180.67865,245.05392,303.40103,355.01114,411.34372,459.83893,494.16342,519.481,530.7687,505.16928,470.9363,430.55286,376.76935,317.18066,263.2221,203.62027,138.2011,138.91568,118.12476,111.678314,113.00818,118.65179,106.86529,94.56533,86.98241,87.12889,104.66419,191.68436,239.03242,281.68997,315.1846,337.87802,340.85236,342.88214,336.60272,330.35373,188.798,177.36777,176.00629,187.8735,198.6024,200.24535,176.32419,159.04585,154.97319,163.86388,178.41563,182.19159,401.63358,394.39743,383.12732,384.8741,380.36856,384.55502,386.32733,404.60886,417.81216,422.3882,422.45148,413.80664,399.24265,401.57492,399.89148,397.9055,385.56598,391.7047,395.05896,395.83893,16.771946,10.514352,2.4825003,1.8545964,19.598055,63.557255,123.51377,181.51031,204.43915,181.12318,123.08426,63.5184,19.812822,2.4788659,1.9578614,9.585694,16.512045,233.28104,273.40326,299.71072,314.6202,319.65,318.8776,314.02805,299.05948,272.79178,233.00586,311.77444,333.1584,355.07645,353.84262,281.5999,293.45352,298.20306,293.19986,281.27036,246.81963,275.52057,275.8097,264.85535,270.46317,263.50174,263.34473,274.23166,272.02475,246.13995,262.74802,269.51923,233.6553,271.3795,292.32394,293.57053,292.1418,271.15695,234.1333,267.1453,281.08383,284.27747,281.22467,267.1503,237.07281,273.381,278.97858,273.31973,236.67021,281.35587,284.5782,281.22775
2,NAH,mov,2,587.4899,601.30005,621.1147,639.7455,663.19507,699.11584,740.39197,797.8301,873.08655,943.0649,991.1592,1021.9206,1043.724,1052.8322,1059.4735,1065.5178,1065.3367,640.3925,667.7012,702.40015,735.5807,766.01074,894.0765,922.2889,953.73535,988.205,1017.29474,839.95844,846.3613,851.9286,855.67847,814.4271,832.4105,855.52374,877.25745,892.7914,691.24603,711.54724,741.58575,770.0862,746.3148,715.27924,900.3952,926.89484,957.2379,979.1744,958.178,927.3477,772.02905,804.83923,841.2549,860.20807,877.95624,914.0039,941.5254,913.06696,888.69916,862.6814,836.1629,808.59235,780.1837,835.94464,860.67004,884.54034,935.79224,882.585,859.31354,835.46747,183.19814,248.00291,306.6317,358.43964,415.12875,463.9479,498.73636,524.1839,534.96423,507.7158,471.80545,429.92606,374.96637,314.5228,259.98434,199.78423,133.81076,141.04686,119.33812,112.38304,113.14755,118.26807,104.533295,91.83534,83.8632,83.49501,101.23916,192.6432,241.03754,284.42056,318.3075,341.77875,344.44293,346.07257,339.5518,333.11032,191.37842,179.57222,177.91127,189.55019,200.8571,202.8487,176.05194,158.18839,153.62018,162.2269,177.42574,181.70628,406.80377,399.15326,387.06516,388.53357,383.8123,387.78885,389.1697,408.32874,422.2433,427.2883,427.6019,418.93256,404.32278,405.89972,403.81555,401.5703,388.52103,395.75504,399.48846,400.5243,30.54456,23.296038,13.938903,12.064894,28.655537,71.59835,130.8679,187.58937,208.32492,182.85391,122.9531,61.957275,17.53584,0.4195719,0.4208788,8.555796,16.031496,249.0552,288.98795,314.67548,328.83536,333.0174,328.4185,322.69162,306.5566,278.82428,237.52248,321.88327,343.16165,364.80856,363.08838,291.16425,302.5605,306.61008,300.977,288.50967,260.9271,289.57297,288.93536,276.93304,283.17496,277.0361,271.5176,281.8179,279.2237,251.60693,269.00836,276.83575,243.83784,281.2867,301.37753,302.09375,300.09512,277.86624,239.41179,273.23544,287.70636,291.64023,289.43356,276.3334,247.2042,282.1919,287.1959,280.71927,242.24847,288.65924,292.5374,289.92804
3,NAH,mov,3,581.72504,596.3084,616.97894,636.27716,660.10187,695.60175,736.4232,794.24023,870.1363,940.98926,990.58374,1021.9613,1044.0012,1053.5421,1060.5905,1067.0415,1067.1913,632.3922,659.69586,694.676,728.2347,759.1052,890.06964,918.7737,950.8521,986.26874,1016.3933,835.20294,841.6904,847.16925,851.0292,809.768,827.9646,851.32684,873.3785,889.20776,683.8695,704.16437,734.7992,764.048,739.7539,708.16724,897.3258,924.2418,955.133,977.9392,956.4046,924.8466,766.4491,799.7362,836.90533,856.1008,874.10706,911.1179,939.45074,910.15936,885.1493,858.5886,831.5731,803.4623,774.61694,831.4802,856.65216,880.98724,933.6384,878.96735,855.155,830.7664,189.49849,254.39993,313.0072,364.7555,421.91702,472.55896,510.0497,538.0943,550.1263,521.1265,482.23212,437.44934,380.5771,319.5614,264.9425,204.62595,138.40692,155.41576,134.78197,128.64717,129.91234,135.174,120.89808,107.68084,98.91037,97.49832,114.125824,211.25862,261.34036,305.89517,339.882,360.71295,363.75894,365.38943,358.65878,351.69763,207.01457,195.98744,194.35298,205.98009,217.69142,219.34798,191.92023,173.8276,168.49977,176.715,192.93196,197.7206,422.75964,417.7353,406.62637,408.02643,403.27524,405.8322,404.53757,425.98987,440.91522,446.3291,446.47177,436.95035,420.47464,424.5855,422.6489,420.1011,404.07434,414.12292,418.1862,419.05725,31.08082,20.900547,8.878191,4.6715784,18.89642,60.254185,118.73438,175.44395,196.8748,173.21182,115.19674,56.33055,14.679014,0.5533895,3.3606768,14.617367,25.419596,256.35266,298.46042,325.33118,339.98697,344.1743,341.88693,337.3585,321.92673,294.30328,251.81436,329.76535,348.73715,368.491,364.79675,290.6257,302.0043,306.14725,301.166,289.29718,266.74094,296.88394,296.7676,284.34436,289.7985,283.02313,281.25827,292.99832,289.4956,262.57977,279.3511,286.757,237.94456,276.83197,298.32703,299.17807,297.59564,275.20282,236.44574,269.49234,283.28156,286.71918,284.06705,270.7656,241.56113,277.8727,283.30188,277.19147,239.29268,285.66312,289.1957,286.0741
4,NAH,mov,4,579.44025,593.4959,613.79065,632.87964,656.66315,692.48224,733.92444,792.6235,869.6485,941.68805,991.9275,1023.8069,1046.5626,1057.003,1064.9407,1072.3644,1073.4607,632.8703,661.1835,697.04364,731.275,762.65125,896.3223,925.6708,958.2869,994.1048,1024.1843,839.2551,845.4495,850.64294,854.1308,811.45874,829.941,853.6468,876.04694,892.0504,684.7206,705.7309,736.92883,766.47125,741.65796,709.42865,902.40314,930.10645,961.6019,984.45874,962.5097,930.40027,767.12305,801.0275,838.60565,857.93695,876.14594,913.0973,941.27136,912.05365,886.83325,859.93756,832.60284,804.3215,775.50116,832.8816,858.1954,882.5921,935.372,880.805,856.79095,832.19055,186.82378,251.7811,310.3204,362.47333,421.40448,475.88303,518.39905,551.4725,566.0106,535.79254,492.89456,443.75974,383.55905,321.039,266.16486,206.12544,140.00401,168.51425,150.8527,146.96593,149.5799,155.40303,142.09549,128.79433,119.26213,116.278984,130.51938,232.41286,284.52985,331.07126,365.21912,380.97766,384.9396,387.04388,380.25888,372.7079,221.9602,213.11028,211.80527,223.12816,235.04439,235.86415,210.07324,192.79611,187.67233,194.15372,211.50697,216.54637,440.16644,438.04767,428.4532,430.11188,425.46014,427.24652,423.77768,447.41824,463.2454,468.6718,468.27704,457.30035,438.25958,445.28925,443.90997,441.30295,423.47327,436.21384,440.2884,440.63593,43.835464,28.717543,12.071244,3.8355036,13.8692255,51.65831,107.72607,162.38443,182.45718,160.46548,104.66514,48.27948,10.206037,0.30990738,7.22954,23.049635,38.821163,275.10748,319.2964,346.88263,361.5069,365.25238,363.22568,359.3361,344.0408,315.79828,271.1074,344.15085,359.57874,376.2088,369.82425,293.57977,304.74777,308.65192,304.01666,292.43646,281.52777,312.91318,312.76157,299.10602,303.93396,297.08835,296.19522,309.25754,306.45325,277.67413,293.73358,301.17004,236.25894,276.01837,298.3377,299.01053,297.62173,274.62216,235.15352,266.7108,279.32156,282.48984,280.06903,267.82352,240.12344,276.1789,281.7245,275.54816,238.17877,284.06534,287.3784,284.37982
